Sensor_Axis,Bias_Run_1,Scale_Run_1,Bias_Run_2,Scale_Run_2,Bias_Run_3,Scale_Run_3,Bias_Average,Scale_Average
Acc_X,-0.016960329621101167,0.00018057937335493117,-0.016310773325789008,0.00010170150755715281,-0.016749080997394472,0.00019185294162076455,-0.01667339464809488,0.0001580446075109495
Acc_Y,0.0630812456131844,-0.0005445005117787312,0.06410765757898051,-0.0005137924359009665,0.06414156343341304,-0.0005917036650529137,0.06377682220852599,-0.0005499988709108705
Acc_Z,-0.0065645101169344855,7.355110392942134e-05,-0.008015563239589518,-7.084102171151688e-05,-0.006957734288056905,1.8702855698450016e-05,-0.007179269214860303,7.137645972118159e-06
Gyro_X,-0.0053874911508567935,-0.8913483491069744,-0.005709357296414452,-1.259142913446994,-0.0034123886923836657,-0.5779422631395437,-0.00483641237988497,-0.9094778418978374
Gyro_Y,-0.0010355723892803725,-0.9851196100338452,-0.0012197270313649665,-0.9065535368332264,-0.0010146418612980265,-0.9934457147558038,-0.0010899804273144552,-0.9617062872076252
Gyro_Z,-0.0014794345958933437,-0.9918907319960766,-0.001335359607934885,-0.9903434823071959,-0.0014706994775537247,-0.9722499891061583,-0.0014284978937939847,-0.9848280678031437
