Sensor_Axis,Bias_Average,Scale_Average
Acc_X,-0.01667339464809488,0.0001580446075109495
Acc_Y,0.06377682220852599,-0.0005499988709108705
Acc_Z,-0.007179269214860303,7.137645972118159e-06
Gyro_X,-0.00483641237988497,-0.9094778418978374
Gyro_Y,-0.0010899804273144552,-0.9617062872076252
Gyro_Z,-0.0014284978937939847,-0.9848280678031437
